University,Total students,PG students1,UG students1,International students,UG students2,PG students2,Total faculty staff,Domestic staff,International staff
Complutense University of Madrid,53932,18%,82%,6910,69%,31%,4764,4685,79
University of Wollongong,19129,25%,75%,5383,41%,59%,1351,857,494
Universidade Estadual de Campinas (Unicamp),27094,43.60%,52.30%,null,null,null,1996,null,null
Arizona State University,47503,16%,84%,9722,65%,35%,2578,1990,588
Victoria University of Wellington,17227,21%,79%,3436,65%,35%,1017,560,457
Radboud University,19742,40%,60%,2475,53%,47%,2010,1611,399
Universiti Teknologi Malaysia,15956,25.80%,74.20%,3156,18.20%,81.80%,2297,2032,265
Tel Aviv University,21661,38%,62%,1019,40%,60%,1035,889,146
University of California  Irvine,34639,16%,84%,9420,79%,21%,1979,1603,376
Vrije Universiteit Amsterdam,22442,42%,58%,1888,28%,72%,2143,1801,342
Loughborough University,16127,22%,78%,4012,47%,53%,1351,961,390
University of Antwerp,15096,42%,58%,2423,39%,61%,2526,1948,578
Queensland University of Technology (QUT),34842,14%,86%,5559,58%,42%,1897,1078,819
National Cheng Kung University (NCKU),20623,42.80%,57.20%,2640,59.40%,40.60%,1972,1813,159
Georgetown University,15566,55%,45%,2629,31%,69%,1906,1721,185
National Chiao Tung University,10467,50%,50%,1686,43.80%,56.20%,1087,924,163
Universität Hamburg,29584,36%,64%,3452,46%,54%,3323,2824,499
University of Canterbury,11851,17%,83%,2580,64%,36%,734,391,343
Curtin University,25251,16%,84%,5019,60%,40%,1866,656,1210
Novosibirsk State University,7532,29.40%,70.60%,1357,69.70%,30.30%,1163,1126,37
University of Illinois at Chicago (UIC),25921,35%,65%,2856,16%,84%,2598,2431,167
University of Calgary,31067,19%,81%,6356,63%,37%,2689,1860,829
Saint Petersburg State University,21452,43.70%,56.30%,2875,48.80%,51.20%,3535,3422,113
Universidad de los Andes,15921,14.80%,85.20%,null,null,null,1123,null,null
Universit?di Padova,44176,40%,60%,1998,52%,48%,2547,2397,150
Macquarie University,23866,24%,76%,8776,57%,43%,1737,1004,733
RMIT University,34987,24%,76%,10346,53%,47%,2025,879,1146
Maastricht University,16854,36%,64%,8734,69%,31%,1214,717,497
Queen's University at Kingston,23057,18%,82%,2587,54%,46%,1161,852,309
University of Leicester,14725,22%,78%,4460,58%,42%,1494,1015,479
Sciences Po,10699,55%,45%,4211,44%,56%,1640,1310,330
Rheinische Friedrich-Wilhelms-Universität Bonn,38401,33%,67%,4724,39%,61%,3705,3124,581
American University of Beirut (AUB),8527,18.80%,81.20%,1877,84.50%,15.50%,1020,696,324
University of Navarra,10604,27%,73%,2131,41%,59%,1014,918,96
University of Sussex,15467,26%,74%,5695,57%,43%,1236,741,495
Chulalongkorn University,36878,31.70%,68.30%,874,35%,65%,2879,2661,218
Kyung Hee University,24199,15%,85%,3460,69.20%,30.80%,3555,3287,268
TELECOM ParisTech,null,null,null,null,null,null,null,null,null
Ecole des Ponts ParisTech,1951,79%,21%,1010,11%,89%,254,217,37
National Taiwan University of Science and Technology (Taiwan Tech),8169,43.10%,56.90%,1094,34.80%,65.20%,1066,979,87
Universite libre de Bruxelles,24064,51%,49%,7366,48%,52%,1304,1018,286
Tufts University,10836,50%,50%,1706,40%,60%,1483,1362,121
Universidad Nacional de Colombia,53879,17.50%,82.50%,null,null,null,2617,null,null
University of Paris,null,null,null,null,null,null,null,null,null
University of Gothenburg,26106,28%,72%,3203,48%,52%,2818,2363,455
Technion - Israel Institute of Technology,13315,28%,72%,846,41%,59%,978,766,212
Wuhan University,50250,43.90%,56.10%,3760,60.90%,39.10%,3759,3004,755
National University of Ireland Galway,13558,16%,84%,2690,75%,25%,1768,1169,599
Technische Universität Darmstadt,17824,43%,57%,3554,49%,51%,766,625,141
Hong Kong Baptist University,8972,24.30%,75.70%,2575,37.40%,62.60%,830,415,415
Rutgers University-New Brunswick,44655,23%,77%,5261,60%,40%,4113,3631,482
Universit?Paris-Sud,27132,47%,53%,4424,32%,68%,3754,3114,640
The University of Arizona,41564,17%,83%,3975,61%,39%,2694,2501,193
Tongji University,36176,52.10%,47.90%,4411,63.60%,36.40%,2726,1714,1012
Universität Innsbruck,14152,46%,54%,5685,55%,45%,1616,932,684
University of Waikato,9462,17%,83%,2429,68%,32%,593,348,245
Khalifa University,3295,15.90%,84.10%,657,54.60%,45.40%,469,56,413
Tomsk State University,7673,34.20%,65.80%,2241,58.30%,41.70%,1745,1552,193
University of Tsukuba,16702,40.50%,59.50%,2320,21.60%,78.40%,2037,1863,174
Deakin University,null,null,null,null,null,null,null,null,null
Indian Institute of Technology Madras (IITM),9189,62.40%,37.60%,62,32.30%,67.70%,736,718,18
University of Miami,15743,35%,65%,2468,59%,41%,1816,1740,76
University of South Australia,16635,13%,87%,3877,67%,33%,1385,249,1136
University of Surrey,14060,19%,81%,5001,67%,33%,1110,682,428
Qatar University,9189,7.10%,92.90%,3758,88.70%,11.30%,1046,201,845
Beijing Normal University,22592,51.90%,48.10%,4761,77.10%,22.90%,1907,1675,232
Harbin Institute of Technology,29931,45.90%,54.10%,2130,23.30%,76.70%,3221,3051,170
Universität Stuttgart,24923,44%,56%,5170,40%,60%,859,735,124
Dalhousie University,15131,23%,77%,3714,67%,33%,1141,541,600
Indian Institute of Technology Kharagpur (IIT-KGP),10530,49.40%,50.60%,null,null,null,739,701,38
King Saud University,38295,9.10%,90.90%,2765,79.40%,20.60%,4742,3014,1728
University of Ottawa,35367,22%,78%,6623,68%,32%,1648,1134,514
Bauman Moscow State Technical University,21461,56.40%,43.60%,1536,63.50%,36.50%,5270,5181,89
North Carolina State University,29420,25%,75%,4414,34%,66%,2534,1960,574
Universitat Pompeu Fabra,12368,18%,82%,1475,32%,68%,861,642,219
Massey University,17299,27%,73%,5049,59%,41%,1072,590,482
National Yang Ming University,4258,49.90%,50.10%,220,51.80%,48.20%,997,959,38
Sun Yat-sen University,52117,35.70%,64.30%,3164,75.10%,24.90%,5589,5280,309
University of Turku,12275,47%,53%,630,6%,94%,1443,1266,177
Charles University,49236,64.30%,35.70%,8480,20.90%,79.10%,4653,4242,411
Indian Institute of Technology Kanpur (IITK),6668,48.90%,51.10%,null,null,null,425,422,3
Royal Holloway University of London,9255,23%,77%,3390,66%,34%,735,424,311
Universität Frankfurt am Main,45365,28%,72%,6569,68%,32%,3384,3096,288
University of Tasmania,10845,29%,71%,3458,45%,55%,786,470,316
Universitas Indonesia,41170,42.40%,57.60%,1648,75.80%,24.20%,4141,2543,1598
University of Strathclyde,18464,29%,71%,4688,45%,55%,1427,912,515
Universidad Carlos III de Madrid (UC3M),17922,19%,81%,2458,51%,49%,2158,1833,325
Universiti Brunei Darussalam (UBD),2975,17.20%,82.80%,639,42.10%,57.90%,497,244,253
Universitat Politècnica de Catalunya ?BarcelonaTech (UPC),22632,24%,76%,2901,31%,69%,2422,2297,125
University of Tartu,10251,47.20%,52.80%,1038,14.50%,85.50%,1432,1289,143
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),5731,31.30%,68.70%,883,57.60%,42.40%,1121,988,133
University of Milan,46145,40%,60%,2033,79%,21%,2449,2305,144
University of Dundee,11973,22%,78%,2507,56%,44%,1468,987,481
Universit?Paris 1 Panthéon-Sorbonne,38000,44%,56%,9184,42%,58%,1330,1187,143
University of Massachusetts Amherst,25268,14%,86%,2198,51%,49%,1673,1514,159
Xi'an Jiaotong University,35424,46.60%,53.40%,2217,57.60%,42.40%,3516,3247,269
University of Cologne,37493,38%,62%,4944,48%,52%,3425,2799,626
SOAS University of London,4821,37%,63%,2414,51%,49%,462,194,268
University College Cork,15014,23%,77%,2619,66%,34%,1312,819,493
Graz University of Technology,6463,45%,55%,1204,50%,50%,1292,994,298
Ecole Normale Supérieure de Cachan,1845,84%,16%,265,2%,98%,302,273,29
Indiana University Bloomington,65696,21%,79%,7064,62%,38%,4978,4187,791
Heriot-Watt University,9336,25%,75%,3165,47%,53%,799,432,367
Mahidol University,29004,28.30%,71.70%,1153,30.40%,69.60%,2802,2596,206
Simon Fraser University,25178,13%,87%,7725,82%,18%,979,608,371
Universität Mannheim,10158,32%,68%,1401,48%,52%,336,278,58
University of East Anglia (UEA),15512,23%,77%,4209,59%,41%,1487,1038,449
Friedrich-Alexander-Universität Erlangen-Nürnberg,36941,50%,50%,4474,39%,61%,1109,973,136
Griffith University,31594,16%,84%,5923,65%,35%,1876,1073,803
Gadjah Mada University,38310,31.20%,68.80%,652,64.40%,35.60%,4445,3786,659
Gwangju Institute of Science and Technology (GIST),1922,64.80%,35.20%,114,1.80%,98.20%,175,166,9
National Research University Higher School of Economics (HSE University),29715,25.90%,74.10%,2456,63.30%,36.70%,5206,4929,277
Aalborg University,16991,44%,56%,2604,32%,68%,1698,1249,449
Linköping University,19276,38%,62%,1898,36%,64%,1554,1177,377
University of Hawai'i at Mañoa,14732,22%,78%,1524,63%,37%,1691,1313,378
Virginia Polytechnic Institute and State University,33517,20%,80%,3636,43%,57%,2618,2354,264
Birkbeck  University of London,8629,33%,67%,3292,66%,34%,642,385,257
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),6489,68.40%,31.60%,1542,30.20%,69.80%,1120,934,186
